STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,446000,780,878,34,15,19,6,3,3,16,5,11,1,0,1,1,0,1,14,10,4,15,7,8,1645,773,872,42.1,42,35,11,36,45,11,8,40,42,42,003,446000
42,447000,713,774,42,19,23,0,0,0,15,6,9,0,0,0,5,3,2,19,11,8,12,4,8,1481,713,768,41.7,42,40,0,47,0,24,19,21,42,42,003,447000
42,448000,493,606,90,37,53,0,0,0,0,0,0,0,0,0,8,3,5,35,16,19,20,8,12,1094,491,603,42.8,44,31,0,0,0,10,10,24,44,42,003,448000
42,449000,1088,1162,29,13,16,7,2,5,21,11,10,1,1,0,0,0,0,6,4,2,18,9,9,2233,1079,1154,38.5,38,30,62,32,37,0,19,29,38,42,003,449000
42,450700,1429,1698,206,87,119,3,1,2,10,1,9,0,0,0,8,7,1,48,24,24,25,12,13,3111,1423,1688,39.5,39,39,76,29,0,20,13,27,40,42,003,450700
42,450800,958,1124,556,251,305,2,1,1,7,2,5,1,0,1,27,10,17,54,29,25,35,18,17,2067,949,1118,41.8,42,40,38,39,66,6,12,30,42,42,003,450800
42,451101,1658,1783,68,26,42,0,0,0,51,25,26,0,0,0,10,6,4,21,10,11,39,18,21,3412,1645,1767,40.9,41,37,0,40,0,31,15,40,41,42,003,451101
42,451102,2485,2428,420,231,189,9,6,3,119,62,57,4,2,2,15,9,6,93,40,53,56,36,20,4877,2461,2416,32.2,33,23,31,31,40,18,12,27,33,42,003,451102
42,451103,3299,3408,203,110,93,5,4,1,194,101,93,1,1,0,16,7,9,52,22,30,66,31,35,6647,3269,3378,36.6,37,34,43,29,50,29,15,35,37,42,003,451103
42,451300,2777,2930,107,54,53,0,0,0,69,28,41,0,0,0,15,7,8,50,24,26,59,28,31,5671,2761,2910,41.7,42,36,0,37,0,10,11,20,42,42,003,451300
42,452000,2433,2515,84,39,45,7,4,3,57,27,30,0,0,0,4,0,4,45,22,23,29,16,13,4926,2419,2507,37.4,37,34,36,33,0,20,16,36,37,42,003,452000
42,453001,3799,3987,250,129,121,13,5,8,301,166,135,0,0,0,15,8,7,51,20,31,88,43,45,7727,3768,3959,34.8,35,36,12,29,0,30,26,31,35,42,003,453001
42,453002,1841,1891,69,34,35,2,1,1,6,2,4,1,1,0,5,3,2,23,13,10,20,6,14,3715,1835,1880,37.4,37,35,45,37,1,41,16,42,37,42,003,453002
42,454000,182,207,22,14,8,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,389,182,207,40.7,40,44,0,30,0,0,66,0,40,42,003,454000
42,455000,737,786,14,5,9,1,0,1,1,0,1,0,0,0,6,2,4,6,4,2,11,4,7,1512,733,779,40.9,40,46,69,31,0,25,13,11,41,42,003,455000
42,456001,1485,1511,36,21,15,1,0,1,36,16,20,1,0,1,2,1,1,10,3,7,14,7,7,2986,1479,1507,37.2,37,28,9,32,21,15,16,23,37,42,003,456001
42,456003,1882,2108,95,42,53,1,1,0,45,18,27,0,0,0,17,10,7,21,11,10,25,12,13,3980,1878,2102,39.7,40,27,18,33,0,15,18,23,40,42,003,456003
42,456004,2080,2460,298,162,136,0,0,0,114,63,51,5,3,2,18,6,12,45,20,25,49,19,30,4509,2066,2443,40.7,41,40,0,30,14,13,19,27,41,42,003,456004
42,457100,689,809,60,28,32,0,0,0,5,3,2,0,0,0,10,5,5,7,3,4,15,10,5,1491,684,807,44.4,45,39,0,31,0,15,53,28,45,42,003,457100
42,457200,1644,1881,176,84,92,5,3,2,15,6,9,0,0,0,8,6,2,32,13,19,26,11,15,3512,1640,1872,43.5,43,42,14,53,0,5,14,30,43,42,003,457200
42,458000,2475,2688,39,16,23,0,0,0,26,10,16,0,0,0,11,5,6,26,14,12,19,11,8,5154,2469,2685,45.9,46,38,0,41,0,16,8,33,46,42,003,458000
42,459101,843,829,79,39,40,1,0,1,11,4,7,0,0,0,2,0,2,14,7,7,10,4,6,1665,839,826,41.1,41,16,33,33,0,26,34,29,42,42,003,459101
42,459102,2433,2528,52,27,25,2,1,1,53,24,29,0,0,0,1,1,0,27,13,14,32,17,15,4930,2417,2513,40.4,40,47,51,41,0,11,7,33,40,42,003,459102
42,459201,2462,2610,103,55,48,4,2,2,187,102,85,3,1,2,14,10,4,31,20,11,48,26,22,5047,2450,2597,38.7,39,29,22,29,13,12,28,29,39,42,003,459201
42,459202,285,423,12,5,7,6,4,2,6,3,3,0,0,0,1,0,1,5,2,3,6,3,3,706,284,422,37.2,37,39,24,30,0,28,13,20,37,42,003,459202
42,460001,1912,2222,13,9,4,0,0,0,18,7,11,2,1,1,1,0,1,8,5,3,16,9,7,4120,1903,2217,47.9,48,58,0,32,89,49,7,23,48,42,003,460001
42,460002,1615,1653,25,12,13,1,1,0,18,10,8,0,0,0,2,2,0,14,10,4,6,3,3,3262,1612,1650,41.1,41,32,17,43,0,3,15,7,41,42,003,460002
42,461000,579,620,15,11,4,1,1,0,0,0,0,0,0,0,4,3,1,13,6,7,11,4,7,1189,576,613,42.1,42,31,22,0,0,6,7,17,42,42,003,461000
42,462100,1109,1182,308,109,199,2,2,0,8,5,3,0,0,0,3,3,0,25,15,10,17,11,6,2282,1103,1179,43.3,47,16,38,44,0,8,10,19,47,42,003,462100
42,462600,1749,2025,231,118,113,12,7,5,3,1,2,0,0,0,12,6,6,37,14,23,11,1,10,3766,1748,2018,41.5,42,21,27,29,0,6,10,45,42,42,003,462600
42,463900,1264,1414,162,73,89,1,1,0,16,4,12,0,0,0,5,3,2,30,16,14,33,20,13,2652,1247,1405,39.8,41,17,31,39,0,16,8,25,41,42,003,463900
